num_processes, exponent, n, hits, pi_approx, error, elapsed, wall_time
2, 6, 1000000, 318019, 3.144466, 0.091468, 0.026097, 0.026173
2, 7, 10000000, 3185588, 3.139138, 0.078137, 0.249288, 0.249581
2, 8, 100000000, 31831841, 3.141509, 0.002678, 2.468007, 2.469009
2, 9, 1000000000, 318285407, 3.141834, 0.007691, 25.441819, 25.447951
4, 6, 1000000, 318581, 3.138919, 0.085100, 0.016855, 0.017041
4, 7, 10000000, 3184126, 3.140579, 0.032258, 0.134672, 0.134868
4, 8, 100000000, 31831716, 3.141521, 0.002285, 1.240515, 1.241527
4, 9, 1000000000, 318328122, 3.141413, 0.005729, 12.586923, 12.598555
10, 6, 1000000, 318966, 3.135130, 0.205700, 0.012265, 0.037655
10, 7, 10000000, 3183489, 3.141208, 0.012255, 0.055041, 0.169852
10, 8, 100000000, 31831225, 3.141569, 0.000743, 0.504460, 1.512561
10, 9, 1000000000, 318351409, 3.141183, 0.013043, 5.067917, 15.209882
2, 6, 1000000, 318992, 3.134875, 0.213834, 0.026028, 0.026078
2, 7, 10000000, 3182827, 3.141861, 0.008542, 0.249489, 0.249776
2, 8, 100000000, 31828569, 3.141831, 0.007602, 2.475058, 2.475658
2, 9, 1000000000, 318322943, 3.141464, 0.004102, 25.261980, 25.266166
4, 6, 1000000, 318294, 3.141749, 0.004991, 0.016933, 0.017088
4, 7, 10000000, 3183386, 3.141309, 0.009020, 0.152009, 0.152962
4, 8, 100000000, 31832593, 3.141434, 0.005040, 1.246143, 1.246766
4, 9, 1000000000, 318307435, 3.141617, 0.000770, 13.099179, 13.109642
10, 6, 1000000, 318955, 3.135239, 0.202259, 0.015141, 0.049896
10, 7, 10000000, 3183414, 3.141282, 0.009899, 0.057093, 0.173892
10, 8, 100000000, 31830615, 3.141630, 0.001174, 0.514138, 1.545900
10, 9, 1000000000, 318311634, 3.141575, 0.000549, 5.093370, 15.280360
2, 6, 1000000, 318417, 3.140536, 0.033639, 0.026163, 0.026224
2, 7, 10000000, 3183871, 3.140831, 0.024252, 0.260586, 0.260873
2, 8, 100000000, 31825382, 3.142146, 0.017617, 2.538201, 2.538714
2, 9, 1000000000, 318307415, 3.141617, 0.000776, 25.555924, 25.559847
4, 6, 1000000, 318243, 3.142253, 0.021017, 0.016563, 0.016674
4, 7, 10000000, 3185979, 3.138753, 0.090400, 0.129776, 0.130661
4, 8, 100000000, 31837168, 3.140983, 0.019409, 1.240876, 1.241234
4, 9, 1000000000, 318326944, 3.141424, 0.005359, 13.070379, 13.082136
10, 6, 1000000, 318199, 3.142687, 0.034848, 0.019325, 0.061842
10, 7, 10000000, 3183976, 3.140727, 0.027549, 0.053901, 0.169861
10, 8, 100000000, 31826384, 3.142047, 0.014468, 0.506484, 1.525783
10, 9, 1000000000, 318304297, 3.141648, 0.001756, 5.072760, 15.226595
2, 6, 1000000, 318649, 3.138249, 0.106422, 0.026830, 0.026898
2, 7, 10000000, 3185407, 3.139316, 0.072460, 0.263395, 0.263683
2, 8, 100000000, 31831277, 3.141564, 0.000906, 2.519276, 2.519751
2, 9, 1000000000, 318327159, 3.141422, 0.005426, 24.844815, 24.851205
4, 6, 1000000, 318058, 3.144081, 0.079195, 0.017533, 0.017683
4, 7, 10000000, 3184691, 3.140022, 0.049993, 0.128931, 0.129085
4, 8, 100000000, 31834079, 3.141288, 0.009708, 1.261163, 1.261466
4, 9, 1000000000, 318323711, 3.141456, 0.004343, 12.444312, 12.455094
10, 6, 1000000, 319504, 3.129851, 0.373740, 0.013167, 0.041776
10, 7, 10000000, 3180522, 3.144138, 0.081020, 0.059064, 0.185816
10, 8, 100000000, 31837970, 3.140904, 0.021928, 0.533887, 1.605821
10, 9, 1000000000, 318313730, 3.141555, 0.001208, 8.810214, 26.441797
2, 6, 1000000, 318764, 3.137117, 0.142461, 0.026481, 0.026539
2, 7, 10000000, 3182714, 3.141973, 0.012092, 0.247955, 0.248250
2, 8, 100000000, 31831669, 3.141526, 0.002137, 2.475127, 2.475767
2, 9, 1000000000, 318300858, 3.141682, 0.002836, 24.810835, 24.814414
4, 6, 1000000, 317751, 3.147118, 0.175888, 0.017503, 0.017655
4, 7, 10000000, 3180514, 3.144146, 0.081272, 0.132949, 0.133821
4, 8, 100000000, 31841210, 3.140584, 0.032101, 1.248224, 1.256215
4, 9, 1000000000, 318295565, 3.141734, 0.004499, 12.405251, 12.408149
10, 6, 1000000, 317974, 3.144911, 0.105633, 0.013488, 0.045882
10, 7, 10000000, 3184196, 3.140510, 0.034456, 0.053462, 0.165878
10, 8, 100000000, 31830275, 3.141663, 0.002242, 0.507348, 1.525758
10, 9, 1000000000, 318339331, 3.141302, 0.009250, 5.072512, 15.219953
