exponent, n, hits, pi_approx,error, elapsed
6, 1000000, 318067, 3.143992, 0.076363, 0.049127
7, 10000000, 3185321, 3.139401, 0.069762, 0.494900
8, 100000000, 31824407, 3.142242, 0.020681, 4.953779
9, 1000000000, 318310250, 3.141589, 0.000114, 50.699909
6, 1000000, 318134, 3.143330, 0.055287, 0.049285
7, 10000000, 3181095, 3.143572, 0.062993, 0.493344
8, 100000000, 31832314, 3.141462, 0.004164, 4.931274
9, 1000000000, 318307711, 3.141614, 0.000683, 49.431605
6, 1000000, 318209, 3.142589, 0.031704, 0.049175
7, 10000000, 3181456, 3.143215, 0.051639, 0.492799
8, 100000000, 31827745, 3.141913, 0.010191, 4.929927
9, 1000000000, 318304724, 3.141644, 0.001622, 49.482886
6, 1000000, 318077, 3.143893, 0.073217, 0.049096
7, 10000000, 3182828, 3.141860, 0.008510, 0.495080
8, 100000000, 31837565, 3.140944, 0.020656, 4.941283
9, 1000000000, 318334358, 3.141351, 0.007687, 52.043605
6, 1000000, 318134, 3.143330, 0.055287, 0.049649
7, 10000000, 3181566, 3.143106, 0.048179, 0.495764
8, 100000000, 31824407, 3.142242, 0.020681, 4.948374
9, 1000000000, 318321093, 3.141482, 0.003521, 52.303045
