exponent, n, hits, pi_approx,error, elapsed
6, 1000000, 318118, 3.143488, 0.060319, 0.047159
7, 10000000, 3182084, 3.142595, 0.031893, 0.471097
8, 100000000, 31827443, 3.141943, 0.011140, 4.842425
9, 1000000000, 318328385, 3.141410, 0.005811, 46.854900
6, 1000000, 317801, 3.146623, 0.160127, 0.046940
7, 10000000, 3183206, 3.141487, 0.003366, 0.468190
8, 100000000, 31833545, 3.141340, 0.008030, 4.707852
9, 1000000000, 318322598, 3.141467, 0.003993, 46.945857
6, 1000000, 318509, 3.139629, 0.062514, 0.046955
7, 10000000, 3184771, 3.139943, 0.052504, 0.467972
8, 100000000, 31834870, 3.141210, 0.012192, 4.676741
9, 1000000000, 318327879, 3.141415, 0.005652, 46.790570
6, 1000000, 317631, 3.148307, 0.213734, 0.046667
7, 10000000, 3184175, 3.140531, 0.033796, 0.468237
8, 100000000, 31833545, 3.141340, 0.008030, 4.668381
9, 1000000000, 318305563, 3.141635, 0.001358, 46.825991
6, 1000000, 317750, 3.147128, 0.176203, 0.047629
7, 10000000, 3185321, 3.139401, 0.069762, 0.467653
8, 100000000, 31825976, 3.142087, 0.015750, 4.671263
9, 1000000000, 318329243, 3.141402, 0.006081, 46.821018
