num_processes, exponent, n, hits, pi_approx, error, elapsed, wall_time
2, 6, 1000000, 785720, 3.142880, 0.040978, 0.009213, 0.013284
2, 7, 10000000, 7854170, 3.141668, 0.002398, 0.085542, 0.085609
2, 8, 100000000, 78540934, 3.141637, 0.001423, 0.838804, 0.839162
2, 9, 1000000000, 785402646, 3.141611, 0.000571, 8.378847, 8.381029
4, 6, 1000000, 785088, 3.140352, 0.039491, 0.014701, 0.014856
4, 7, 10000000, 7849048, 3.139619, 0.062817, 0.047701, 0.048620
4, 8, 100000000, 78536556, 3.141462, 0.004151, 0.424418, 0.424765
4, 9, 1000000000, 785399836, 3.141599, 0.000213, 4.192924, 4.194285
10, 6, 1000000, 785620, 3.142480, 0.028245, 0.008988, 0.030544
10, 7, 10000000, 7852340, 3.140936, 0.020902, 0.023321, 0.073739
10, 8, 100000000, 78552280, 3.142091, 0.015869, 0.176087, 0.533711
10, 9, 1000000000, 785390870, 3.141563, 0.000929, 1.694736, 5.093719
2, 6, 1000000, 786298, 3.145192, 0.114571, 0.010160, 0.010212
2, 7, 10000000, 7853022, 3.141209, 0.012218, 0.085273, 0.085325
2, 8, 100000000, 78533558, 3.141342, 0.007968, 0.838898, 0.839185
2, 9, 1000000000, 785396182, 3.141585, 0.000252, 8.417314, 8.425148
4, 6, 1000000, 785204, 3.140816, 0.024722, 0.008842, 0.009006
4, 7, 10000000, 7851320, 3.140528, 0.033889, 0.050144, 0.050261
4, 8, 100000000, 78529136, 3.141165, 0.013599, 0.423697, 0.424105
4, 9, 1000000000, 785387328, 3.141549, 0.001380, 4.199347, 4.200950
10, 6, 1000000, 784930, 3.139720, 0.059608, 0.011454, 0.034943
10, 7, 10000000, 7849840, 3.139936, 0.052733, 0.022280, 0.070914
10, 8, 100000000, 78545740, 3.141830, 0.007542, 0.174025, 0.529687
10, 9, 1000000000, 785407190, 3.141629, 0.001149, 1.691520, 5.081595
2, 6, 1000000, 786366, 3.145464, 0.123229, 0.010179, 0.010230
2, 7, 10000000, 7855032, 3.142013, 0.013374, 0.085527, 0.085577
2, 8, 100000000, 78544954, 3.141798, 0.006541, 0.835020, 0.835341
2, 9, 1000000000, 785396316, 3.141585, 0.000235, 8.422553, 8.423967
4, 6, 1000000, 785716, 3.142864, 0.040468, 0.007842, 0.007958
4, 7, 10000000, 7855192, 3.142077, 0.015411, 0.046358, 0.046525
4, 8, 100000000, 78541260, 3.141650, 0.001838, 0.426950, 0.428011
4, 9, 1000000000, 785389672, 3.141559, 0.001081, 4.220335, 4.221538
10, 6, 1000000, 786620, 3.146480, 0.155569, 0.013541, 0.045755
10, 7, 10000000, 7858290, 3.143316, 0.054856, 0.025527, 0.081686
10, 8, 100000000, 78550620, 3.142025, 0.013756, 0.176278, 0.537725
10, 9, 1000000000, 785402440, 3.141610, 0.000545, 1.686617, 5.059525
2, 6, 1000000, 784308, 3.137232, 0.138804, 0.009994, 0.010045
2, 7, 10000000, 7852660, 3.141064, 0.016828, 0.086200, 0.086250
2, 8, 100000000, 78539588, 3.141584, 0.000291, 0.841548, 0.841847
2, 9, 1000000000, 785397032, 3.141588, 0.000144, 8.401545, 8.402644
4, 6, 1000000, 785456, 3.141824, 0.007364, 0.008957, 0.009077
4, 7, 10000000, 7858612, 3.143445, 0.058956, 0.046394, 0.046610
4, 8, 100000000, 78540968, 3.141639, 0.001466, 0.423625, 0.424515
4, 9, 1000000000, 785399628, 3.141599, 0.000186, 4.201442, 4.203085
10, 6, 1000000, 785430, 3.141720, 0.004054, 0.007856, 0.029768
10, 7, 10000000, 7848560, 3.139424, 0.069030, 0.027985, 0.089744
10, 8, 100000000, 78546200, 3.141848, 0.008128, 0.174998, 0.529732
10, 9, 1000000000, 785391070, 3.141564, 0.000903, 1.692725, 5.087855
2, 6, 1000000, 784822, 3.139288, 0.073359, 0.009963, 0.010021
2, 7, 10000000, 7851802, 3.140721, 0.027752, 0.092324, 0.092389
2, 8, 100000000, 78540144, 3.141606, 0.000417, 0.838863, 0.839216
2, 9, 1000000000, 785402456, 3.141610, 0.000547, 8.427689, 8.428968
4, 6, 1000000, 786640, 3.146560, 0.158116, 0.008840, 0.008990
4, 7, 10000000, 7853864, 3.141546, 0.001498, 0.045973, 0.046107
4, 8, 100000000, 78541400, 3.141656, 0.002016, 0.422060, 0.422351
4, 9, 1000000000, 785403556, 3.141614, 0.000687, 4.208253, 4.210015
10, 6, 1000000, 785500, 3.142000, 0.012966, 0.008062, 0.033842
10, 7, 10000000, 7850120, 3.140048, 0.049168, 0.024252, 0.081738
10, 8, 100000000, 78560260, 3.142410, 0.026030, 0.174269, 0.528257
10, 9, 1000000000, 785384030, 3.141536, 0.001800, 1.681317, 5.053764
