exponent, n, hits, pi_approx,error, elapsed
6, 1000000, 784934, 3.139736, 0.059099, 0.163274
7, 10000000, 7853615, 3.141446, 0.004668, 1.914334
8, 100000000, 78530902, 3.141236, 0.011350, 19.232379
9, 1000000000, 785404481, 3.141618, 0.000804, 191.501204
6, 1000000, 785364, 3.141456, 0.004350, 0.199390
7, 10000000, 7854622, 3.141849, 0.008153, 1.914331
8, 100000000, 78529513, 3.141181, 0.013119, 19.146846
9, 1000000000, 785398336, 3.141593, 0.000022, 191.523010
6, 1000000, 784839, 3.139356, 0.071195, 0.199526
7, 10000000, 7852501, 3.141000, 0.018852, 1.953159
8, 100000000, 78539656, 3.141586, 0.000204, 19.170275
9, 1000000000, 785406279, 3.141625, 0.001033, 191.627914
6, 1000000, 784609, 3.138436, 0.100479, 0.199676
7, 10000000, 7853178, 3.141271, 0.010232, 1.914444
8, 100000000, 78543746, 3.141750, 0.005003, 19.178977
9, 1000000000, 785391032, 3.141564, 0.000908, 191.740687
6, 1000000, 785888, 3.143552, 0.062368, 0.199748
7, 10000000, 7853375, 3.141350, 0.007724, 1.922942
8, 100000000, 78540629, 3.141625, 0.001035, 19.050345
9, 1000000000, 785379036, 3.141516, 0.002435, 191.604476
